TITLE = "oxygen alpha" 

  VARIABLES = temp	PR_liq_alpha_01MPa	PR_liq_alpha_1MPa	PR_liq_alpha_2MPa	PR_liq_alpha_4MPa	PR_liq_alpha_5MPa	PR_liq_alpha_7MPa	PR_liq_alpha_8MPa	PR_liq_alpha_10MPa
303	0.582685661	0.590836475	0.594277786	0.60391462	0.608392946	0.616666633	0.620418617	0.627169112
304	0.578892535	0.58697038	0.592414634	0.602373341	0.606699273	0.614921715	0.618608358	0.625076718
305	0.599656438	0.585424685	0.590838181	0.600724798	0.605132042	0.613226481	0.617113482	0.623470432
306	0.577123253	0.586282243	0.589563882	0.598969422	0.603429511	0.611517001	0.614888026	0.621684141
307	0.579451858	0.582728251	0.587749173	0.597534403	0.601863524	0.609795988	0.61351885	0.619713844
308	0.572457264	0.58160707	0.58625043	0.595787347	0.600166405	0.608066237	0.611410257	0.617908202
309	0.591320616	0.579484247	0.585083785	0.594158002	0.598476802	0.60640213	0.610188302	0.616276425
310	0.56547659	0.579895122	0.583380283	0.592654281	0.596939695	0.604664452	0.608218397	0.614466345
311	0.565817192	0.575745223	0.582023722	0.591061349	0.595278354	0.603000112	0.606602885	0.612840074
312	0.59320485	0.57416086	0.580127202	0.58938015	0.593636378	0.601340737	0.604787602	0.611036757
313	0.575000479	0.575230234	0.578593059	0.587839453	0.592017912	0.599614637	0.603345007	0.609427556
314	0.584188603	0.571644526	0.577438545	0.586217477	0.590427197	0.597974074	0.601124309	0.607642815
315	0.584188381	0.570746389	0.575749481	0.584748095	0.588719434	0.596348379	0.599871839	0.605678786
316	0.57482272	0.568853886	0.574456537	0.582969661	0.587195715	0.594663502	0.597833012	0.603920436
317	0.555911101	0.569757254	0.572627018	0.581589067	0.585560647	0.592998754	0.596372506	0.602377932
318	0.565831085	0.565855715	0.571210728	0.579902204	0.583967982	0.591357755	0.594657833	0.60066358
